DATA_BELOW
2011-10-17,461,1278842
2011-10-18,884,1279726
2011-10-19,905,1280631
2011-10-20,923,1281554
2011-10-21,902,1282456
2011-10-22,613,1283069
2011-10-23,735,1283804
2011-10-24,903,1284707
2011-10-25,902,1285609
2011-10-26,904,1286513
2011-10-27,895,1287408
2011-10-28,895,1288303
2011-10-29,905,1289208
2011-10-30,805,1290013
2011-10-31,989,1291002
2011-11-01,947,1291949
2011-11-02,967,1292916
2011-11-03,939,1293855
2011-11-04,931,1294786
2011-11-05,567,1295353
2011-11-06,1045,1296398
2011-11-07,882,1297280
2011-11-08,550,1297830
2011-11-09,1247,1299077
2011-11-10,917,1299994
2011-11-11,905,1300899
2011-11-12,843,1301742
2011-11-13,870,1302612
2011-11-14,867,1303479
2011-11-15,744,1304223
2011-11-16,1211,1305434
2011-11-17,952,1306386
2011-11-18,959,1307345
2011-11-19,615,1307960
2011-11-20,1024,1308984
2011-11-21,865,1309849
2011-11-22,886,1310735
2011-11-23,945,1311680
2011-11-24,931,1312611
2011-11-25,929,1313540
2011-11-26,940,1314480
2011-11-27,939,1315419
2011-11-28,955,1316374
2011-11-29,891,1317265
2011-11-30,887,1318152
2011-12-01,865,1319017
2011-12-02,917,1319934
2011-12-03,342,1320276
2011-12-04,621,1320897
2011-12-05,933,1321830
2011-12-06,954,1322784
2011-12-07,944,1323728
2011-12-08,946,1324674
2011-12-09,936,1325610
2011-12-10,621,1326231
2011-12-11,0,1326231
2011-12-12,246,1326477
2011-12-13,809,1327286
2011-12-14,944,1328230
2011-12-15,947,1329177
2011-12-16,942,1330119
2011-12-17,464,1330583
2011-12-18,1225,1331808
2011-12-19,960,1332768
2011-12-20,955,1333723
2011-12-21,940,1334663
2011-12-22,961,1335624
2011-12-23,853,1336477
2011-12-24,0,1336477
2011-12-25,0,1336477
2011-12-26,550,1337027
2011-12-27,950,1337977
2011-12-28,739,1338716
2011-12-29,757,1339473
2011-12-30,793,1340266
2011-12-31,0,1340266
2012-01-01,0,1340266
2012-01-02,0,1340266
2012-01-03,516,1340782
2012-01-04,902,1341684
2012-01-05,844,1342528
2012-01-06,1007,1343535
2012-01-07,933,1344468
2012-01-08,930,1345398
2012-01-09,930,1346328
2012-01-10,960,1347288
2012-01-11,960,1348248
2012-01-12,910,1349158
2012-01-13,938,1350096
2012-01-14,665,1350761
2012-01-15,1271,1352032
2012-01-16,989,1353021
2012-01-17,398,1353419
2012-01-18,96,1353515
2012-01-19,1492,1355007
2012-01-20,970,1355977
2012-01-21,643,1356620
2012-01-22,20,1356640
2012-01-23,731,1357371
2012-01-24,1307,1358678
2012-01-25,1264,1359942
2012-01-26,941,1360883
2012-01-27,1310,1362193
2012-01-28,590,1362783
2012-01-29,0,1362783
2012-01-30,622,1363405
2012-01-31,929,1364334
2012-02-01,926,1365260
2012-02-02,926,1366186
2012-02-03,453,1366639
2012-02-04,0,1366639
2012-02-05,0,1366639
2012-02-06,508,1367147
2012-02-07,812,1367959
2012-02-08,925,1368884
2012-02-09,777,1369661
2012-02-10,1099,1370760
2012-02-11,920,1371680
2012-02-12,940,1372620
2012-02-13,927,1373547
2012-02-14,496,1374043
2012-02-15,693,1374736
2012-02-16,1296,1376032
2012-02-17,1024,1377056
2012-02-18,377,1377433
2012-02-19,0,1377433
2012-02-20,0,1377433
2012-02-21,562,1377995
2012-02-22,956,1378951
2012-02-23,639,1379590
2012-02-24,567,1380157
2012-02-25,1221,1381378
2012-02-26,1090,1382468
2012-02-27,1163,1383631
2012-02-28,932,1384563
2012-02-29,769,1385332
2012-03-01,852,1386184
2012-03-02,458,1386642
2012-03-03,1102,1387744
2012-03-04,1224,1388968
2012-03-05,566,1389534
2012-03-06,1248,1390782
2012-03-07,917,1391699
2012-03-08,933,1392632
2012-03-09,939,1393571
2012-03-10,729,1394300
2012-03-11,756,1395056
2012-03-12,1286,1396342
2012-03-13,963,1397305
2012-03-14,921,1398226
2012-03-15,942,1399168
2012-03-16,829,1399997
2012-03-17,451,1400448
2012-03-18,475,1400923
2012-03-19,1292,1402215
2012-03-20,1214,1403429
2012-03-21,1224,1404653
2012-03-22,794,1405447
2012-03-23,1027,1406474
2012-03-24,337,1406811
2012-03-25,0,1406811
2012-03-26,586,1407397
2012-03-27,711,1408108
2012-03-28,839,1408947
2012-03-29,196,1409143
2012-03-30,1179,1410322
2012-03-31,1309,1411631
2012-04-01,1098,1412729
2012-04-02,660,1413389
2012-04-03,1018,1414407
2012-04-04,920,1415327
2012-04-05,905,1416232
2012-04-06,1003,1417235
2012-04-07,873,1418108
2012-04-08,932,1419040
2012-04-09,935,1419975
2012-04-10,425,1420400
2012-04-11,836,1421236
2012-04-12,1238,1422474
2012-04-13,1227,1423701
2012-04-14,933,1424634
2012-04-15,891,1425525
2012-04-16,976,1426501
